"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"223","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:214","CHMI-H:PRUTOK",2005-02-22,2015-08-10,"Trebíc - Ptácov",49.2111129760742,15.8555555343628,"Average","Field Observation","Water","hour",1
"224","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:216","CHMI-H:PRUTOK",2005-06-28,2015-08-10,"Vlaské",50.0886116027832,16.9036102294922,"Average","Field Observation","Water","hour",1
"225","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:501","CHMI-H:PRUTOK",2006-08-03,2015-08-10,"Šumperk",49.9580574035645,16.9716663360596,"Average","Field Observation","Water","hour",1
"226","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:503","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Jemnice",49.0172233581543,15.5805559158325,"Average","Field Observation","Water","hour",1
"227","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:178","CHMI-H:PRUTOK",2005-01-23,2015-08-10,"Oslavany",49.1166648864746,16.3455562591553,"Average","Field Observation","Water","hour",1
"228","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:182","CHMI-H:PRUTOK",2005-02-27,2015-08-10,"Ivancice",49.083610534668,16.4127769470215,"Average","Field Observation","Water","hour",1
"229","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:191","CHMI-H:PRUTOK",2005-03-09,2015-08-10,"Podhradí nad Dyjí",48.9036102294922,15.6902780532837,"Average","Field Observation","Water","hour",1
"230","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:192","CHMI-H:PRUTOK",2005-02-19,2015-08-10,"Dalecín",49.5952796936035,16.2466678619385,"Average","Field Observation","Water","hour",1
"231","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:193","CHMI-H:PRUTOK",2005-02-19,2015-08-10,"Janov",48.9933319091797,15.4366664886475,"Average","Field Observation","Water","hour",1
"232","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:194","CHMI-H:PRUTOK",2005-03-08,2015-08-10,"Olomouc - Nové Sady",49.5774993896484,17.2627773284912,"Average","Field Observation","Water","hour",1
"233","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:100","CHMI-H:PRUTOK",2005-06-08,2015-08-10,"Teplice nad Becvou",49.5305557250977,17.7477779388428,"Average","Field Observation","Water","hour",1
"234","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:105","CHMI-H:PRUTOK",2005-02-09,2015-08-10,"Valašské Mezirící",49.4638900756836,17.9750003814697,"Average","Field Observation","Water","hour",1
"235","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:113","CHMI-H:PRUTOK",2005-02-23,2015-08-10,"Raškov",50.0411109924316,16.9127769470215,"Average","Field Observation","Water","hour",1
"236","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:115","CHMI-H:PRUTOK",2005-01-23,2015-08-10,"Spytihnev",49.1322212219238,17.5030555725098,"Average","Field Observation","Water","hour",1
