"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"36","Radynia","1032","CHMI-D:1032",50.1508827209473,17.6747703552246,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"37","Mezina","1033","CHMI-D:1033",49.964054107666,17.4892978668213,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"38","Jelenice","1034","CHMI-D:1034",49.8029441833496,17.8544998168945,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"39","Kletné","1035","CHMI-D:1035",49.6657981872559,17.9086837768555,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"40","Fulnek","1036","CHMI-D:1036",49.7151947021484,17.9098072052002,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"41","Jezdecká","1037","CHMI-D:1037",50.8074989318848,15.2930555343628,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"42","Valašská Senice","1038","CHMI-D:1038",49.2402763366699,18.1269435882568,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"43","Rýmarov CHMÚ","1039","CHMI-D:1039",49.9313888549805,17.2961101531982,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"44","Vestec","104","CHMI-D:104",50.2400016784668,15.147777557373,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"45","Mesto Albrechtice, Žáry","1040","CHMI-D:1040",50.154167175293,17.5605564117432,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"46","Jablonec nad Nisou","1041","CHMI-D:1041",50.7293090820312,15.179220199585,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"47","Jihlava - Hruškové Dvory","1042","CHMI-D:1042",49.405143737793,15.6098699569702,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"48","Staré Hute","1043","CHMI-D:1043",49.1378364562988,17.2893695831299,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"49","Svatý Jan","1044","CHMI-D:1044",49.6349487304688,14.3138780593872,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"50","Vlašim","1045","CHMI-D:1045",49.6919174194336,14.8921585083008,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"51","Voznice","1046","CHMI-D:1046",49.8174934387207,14.2120122909546,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"52","Netvorice","1047","CHMI-D:1047",49.8166999816895,14.5136003494263,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"53","Horšovský Týn","1048","CHMI-D:1048",49.5298881530762,12.9393882751465,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
