datum	teplota
2013-07-31 04:00:00	15.6
2013-07-31 05:00:00	15.0
2013-07-31 06:00:00	15.1
2013-07-31 07:00:00	15.0
2013-07-31 08:00:00	17.6
2013-07-31 09:00:00	20.7
2013-07-31 10:00:00	22.6
2013-07-31 11:00:00	24.7
2013-07-31 12:00:00	25.4
2013-07-31 13:00:00	26.8
2013-07-31 14:00:00	26.3
2013-07-31 15:00:00	26.2
2013-07-31 16:00:00	27.3
2013-07-31 17:00:00	26.2
2013-07-31 18:00:00	25.1
2013-07-31 19:00:00	24.4
2013-07-31 20:00:00	23.6
2013-07-31 21:00:00	22.4
2013-07-31 22:00:00	20.7
2013-07-31 23:00:00	20.6
2013-08-01 00:00:00	20.6
