datum	teplota
2013-07-31 04:00:00	14.0
2013-07-31 05:00:00	13.3
2013-07-31 06:00:00	12.7
2013-07-31 07:00:00	12.8
2013-07-31 08:00:00	15.7
2013-07-31 09:00:00	17.2
2013-07-31 10:00:00	20.1
2013-07-31 11:00:00	21.9
2013-07-31 12:00:00	22.6
2013-07-31 13:00:00	23.7
2013-07-31 14:00:00	24.4
2013-07-31 15:00:00	25.2
2013-07-31 16:00:00	26.1
2013-07-31 17:00:00	24.5
2013-07-31 18:00:00	23.8
2013-07-31 19:00:00	23.3
2013-07-31 20:00:00	22.4
2013-07-31 21:00:00	21.5
2013-07-31 22:00:00	20.4
2013-07-31 23:00:00	19.8
2013-08-01 00:00:00	18.8
