datum	teplota
2013-07-20 04:00:00	15.9
2013-07-20 05:00:00	16.4
2013-07-20 06:00:00	16.8
2013-07-20 07:00:00	17.1
2013-07-20 08:00:00	18.9
2013-07-20 09:00:00	20.8
2013-07-20 10:00:00	20.5
2013-07-20 11:00:00	23.1
2013-07-20 12:00:00	24.0
2013-07-20 13:00:00	24.4
2013-07-20 14:00:00	25.2
2013-07-20 15:00:00	26.0
2013-07-20 16:00:00	26.6
2013-07-20 17:00:00	25.6
2013-07-20 18:00:00	25.7
2013-07-20 19:00:00	24.2
2013-07-20 20:00:00	21.2
2013-07-20 21:00:00	18.5
2013-07-20 22:00:00	17.0
2013-07-20 23:00:00	16.1
2013-07-21 00:00:00	15.3
2013-07-21 01:00:00	14.7
2013-07-21 02:00:00	12.6
2013-07-21 03:00:00	12.4
2013-07-21 04:00:00	12.1
2013-07-21 05:00:00	11.4
2013-07-21 06:00:00	11.6
2013-07-21 07:00:00	16.5
2013-07-21 08:00:00	19.8
2013-07-21 09:00:00	22.4
2013-07-21 10:00:00	23.9
2013-07-21 11:00:00	25.0
2013-07-21 12:00:00	25.8
2013-07-21 13:00:00	26.7
2013-07-21 14:00:00	28.0
2013-07-21 15:00:00	28.6
2013-07-21 16:00:00	28.7
2013-07-21 17:00:00	28.7
2013-07-21 18:00:00	28.3
2013-07-21 19:00:00	27.1
2013-07-21 20:00:00	22.1
2013-07-21 21:00:00	18.2
2013-07-21 22:00:00	15.8
2013-07-21 23:00:00	14.5
2013-07-22 00:00:00	13.2
2013-07-22 01:00:00	12.3
2013-07-22 02:00:00	11.8
2013-07-22 03:00:00	11.8
2013-07-22 04:00:00	11.1
2013-07-22 05:00:00	10.9
2013-07-22 06:00:00	11.7
2013-07-22 07:00:00	16.6
2013-07-22 08:00:00	21.6
2013-07-22 09:00:00	23.8
2013-07-22 10:00:00	24.8
2013-07-22 11:00:00	26.3
2013-07-22 12:00:00	28.0
2013-07-22 13:00:00	29.2
2013-07-22 14:00:00	30.0
2013-07-22 15:00:00	30.7
2013-07-22 16:00:00	31.4
2013-07-22 17:00:00	31.5
2013-07-22 18:00:00	30.9
2013-07-22 19:00:00	30.2
2013-07-22 20:00:00	23.6
2013-07-22 21:00:00	19.7
2013-07-22 22:00:00	17.3
2013-07-22 23:00:00	15.4
2013-07-23 00:00:00	14.3
2013-07-23 01:00:00	13.5
2013-07-23 02:00:00	13.0
2013-07-23 03:00:00	13.1
2013-07-23 04:00:00	12.9
2013-07-23 05:00:00	12.3
2013-07-23 06:00:00	13.0
2013-07-23 07:00:00	17.8
2013-07-23 08:00:00	22.1
2013-07-23 09:00:00	25.7
2013-07-23 10:00:00	29.1
2013-07-23 11:00:00	29.0
2013-07-23 12:00:00	29.1
2013-07-23 13:00:00	30.8
2013-07-23 14:00:00	31.1
2013-07-23 15:00:00	31.3
2013-07-23 16:00:00	31.4
2013-07-23 17:00:00	30.3
2013-07-23 18:00:00	29.4
2013-07-23 19:00:00	28.1
2013-07-23 20:00:00	24.6
2013-07-23 21:00:00	19.9
2013-07-23 22:00:00	17.0
2013-07-23 23:00:00	15.1
2013-07-24 00:00:00	13.8
2013-07-24 01:00:00	12.7
2013-07-24 02:00:00	11.8
2013-07-24 03:00:00	11.6
2013-07-24 04:00:00	10.9
2013-07-24 05:00:00	10.6
2013-07-24 06:00:00	10.7
