id	name	lat	lon	elev	operator
329	KS Rozkoš	50.3612842	16.0616942	280	PLA
330	Velký Dřevíč	50.4913722	16.1832517	375	PLA
331	KS Náchod - Bražec	50.3940317	16.1559014	318	PLA
332	Orlické Záhoří	50.3113889	16.4280556	657	PLA
333	KS Hanička	50.1881811	16.5099431	745	PLA
334	KS Pastviny	50.0749739	16.5585289	475	PLA
335	Žamberk	50.0816667	16.4652778	400	PLA
336	KS Rampuše	50.2080211	16.3745839	615	PLA
337	KS Častolovice	50.12868	16.184699	280	PLA
338	Sedloňov	50.3438889	16.3041667	660	PLA
339	KS Dobřany	50.3232858	16.2844836	639	PLA
340	KS Osečnice	50.2581075	16.3069583	560	PLA
341	KS Rohoznice	50.389797	15.698918	317	PLA
342	KS Lučice	50.1403661	15.4583108	215	PLA
343	KS Suchý Vrch	50.0510725	16.6932278	990	PLA
344	KS Lichkov	50.09705	16.675762	523	PLA
345	KS Horní Čermná	49.9691347	16.6072914	420	PLA
346	KS Vysoké Pole	49.7891531	16.5511633	549	PLA
347	KS Třebovice	49.8576878	16.5031578	418	PLA
348	KS Trstěnice	49.7938114	16.3434942	448	PLA
349	KS Sebranice	49.77434	16.2475656	490	PLA
350	KS Vysoké Mýto	49.9583314	16.1575928	266	PLA
351	KS Vortová	49.71145	15.9341617	616	PLA
352	KS Hamry	49.738333	15.914444	589	PLA
353	KS Seč	49.8363761	15.652985	485	PLA
354	KS Křižanovice	49.8643578	15.7759453	390	PLA
355	KS Štěpánov	49.8570347	16.0042744	351	PLA
356	Bílek	49.704444	15.731944	530	PLA
358	Golčův Jeníkov	49.8188889	15.4741667	0	PLA
359	KS Vrchlice	49.9276989	15.2283819	327	PLA
360	Dolní Štěpanice	50.6375	15.519444	442	PLA
361	Dolní Sytová	50.625	15.4425	374	PLA
362	KS Souš	50.7901986	15.3153556	767	PLA
363	KS Turnov	50.5879881	15.1501925	250	PLA
364	KS Chocnějovice	50.575556	14.965	257	PLA
365	Bakov nad Jizerou	50.4805556	14.9391667	208	PLA
366	KS Mšeno	50.7324922	15.1732125	508	PLA
367	KS Harcov	50.76888	15.069895	0	PLA
368	KS Bedřichov	50.81607	15.133264	773	PLA
369	KS Rudolfov	50.7948556	15.1078022	575	PLA
370	KS Fojtka	50.8278	15.0586	0	PLA
371	KS Mlýnice	50.8412867	15.0288033	390	PLA
372	KS Nová Paka	50.4934803	15.5045208	445	PLA
373	KS Libáň - Zliv	50.3610819	15.2300894	235	PLA
374	KS Žlunice	50.2997136	15.3795539	260	PLA
375	KS Žandov	49.8585128	15.1316133	0	PLA
376	KS Svídnice	49.881944	15.8125	295	PLA
377	KS Zaječice	49.910991	15.882856	0	PLA
378	KS Nová Ves	49.8393314	16.1596442	449	PLA
379	Brandýs nad Labem	50.1897222	14.6613889	164	PLA
380	KS Hradištko	50.1681369	14.7227261	184	PLA
381	KS Obřítsví	50.302165	14.481919	171	PLA
382	KS Dolní Morava	50.1241831	16.7992108	615	PMO
383	KS Jindřichov	50.094924	16.980891	0	PMO
384	Raškov	50.041111	16.912778	362	PMO
385	Moravičany	49.755833	16.9775	243	PMO
386	KS Moravská Třebová	49.7494142	16.6560322	356	PMO
387	KS Horní Bečva	49.4166667	18.3166667	0	PMO
388	KS Valašské Meziříčí	49.463889	17.975	0	PMO
389	KS Karolinka	49.34717	18.2360414	495	PMO
390	KS Bystřička	49.4226778	18.01959	380	PMO
391	KS Hranice	49.551277	17.733964	250	PMO
392	KS Plumlov	49.470278	17.041944	259	PMO
393	KS Opatovice	49.3083158	16.9307739	334	PMO
394	KS Slušovice	49.268756	17.805349	310	PMO
395	Uherský Brod	49.0313889	17.6627778	205	PMO
396	KS Jimramov	49.636616	16.216648	499	PMO
397	KS Vír I	49.542778	16.339167	366	PMO
398	KS Letovice	49.530278	16.582778	320	PMO
400	KS Jihlava	49.4047211	15.6080125	470	PMO
401	Třebíč - Ptáčov	49.2111111	15.8555556	385	PMO
402	VD Mostiště	49.394651	16.014907	445	PMO
403	Velké Meziříčí	49.3538889	16.0086111	413	PMO
404	KS Landštejn	49.0206656	15.2450481	575	PMO
405	KS Nová Říše	49.1516347	15.5459403	555	PMO
406	Podhradí nad Dyjí	48.903611	15.690278	348	PMO
407	Jemnice	49.0172222	15.5805556	437	PMO
408	KS Vranov	48.9059858	15.8189439	325	PMO
409	KS Dolní Věstonice	48.8908114	16.6422986	170	PMO
410	KS Koryčany	49.11587	17.19337	296	PMO
411	KS Nové Veselí	49.5207958	15.9046592	560	PMO
412	KS Bohdalov	49.4780094	15.8750464	573	PMO
414	KS Jeseník	50.2385575	17.2061844	425	POD
415	KS Ovčárna	50.0705611	17.2388958	1306	POD
416	KS Cvilín	50.0944686	17.7155067	320	POD
417	KS Slezská Harta	49.8893753	17.5836147	460	POD
418	KS Kružberk	49.8222925	17.6631044	435	POD
419	KS Opava	49.930552	17.878333	232	POD
420	Odry	49.6655556	17.8397222	285	POD
421	KS Hodslavice	49.533264	18.01728	350	POD
422	KS Šance	49.5116856	18.4178444	505	POD
423	KS Morávka	49.5834236	18.5365128	510	POD
424	Jablunkov	49.5958333	18.7433333	400	POD
425	KS Těrlicko	49.7739094	18.5175158	267	POD
426	KS Žermanice	49.732575	18.445262	275	POD
427	KS Olešná	49.6646483	18.3195844	300	POD
428	Petřvald	49.7125	18.155833	231	POD
429	Ostrava - Svinov	49.820556	18.218889	206	POD
430	Bohumín	49.9197222	18.3455556	196	POD
525	Kristiánov	50.8091667	15.1841667	794	PLA
527	Vlkonice	49.3022	13.5897	493	CHMI
531	Hojsova Stráž	49.2088889	13.1988889	867	CHMI
532	Jizerka	50.8227778	15.3341667	858	CHMI
533	Šindelová (Obora)	50.3183333	12.5972222	587	CHMI
534	Králíky	50.0811111	16.7691667	586	CHMI
538	Broumov	50.6041667	16.3333333	405	CHMI
541	Strání	48.9028	17.7078	385	CHMI
544	Ondřejov	49.9108333	14.7811111	485	CHMI
545	Semčice	50.74	14.2994444	234	CHMI
546	Řež	50.1747	14.3664	250	CHMI
547	Neumětely	49.8530556	14.0372222	322	CHMI
548	Nedrahovice - Rudolec	49.6319444	14.4422222	348	CHMI
552	Příbram	49.6947	14.0225	555	CHMI
554	Lány	50.1166667	13.95	436	CHMI
555	Český Dub - Modlibohov	50.6855556	14.9805556	355	CHMI
571	Hřebínek	50.8397222	15.1605556	813	PLA
572	Josefův důl	50.7827778	15.2327778	0	PLA
574	KS Pařízov	49.830222	15.566193	305	PLA
575	Zakletý vrch	50.83325	15.2388056	990	PLA
576	Borová u Opavy	49.959095	18.1061669	262	POD
577	Brumovice	50.0146308	17.7419097	340	POD
578	Františkův dvůr	49.745191	17.7332	601	POD
579	Novoveský vrch	49.9964789	17.2718447	826	POD
580	Osoblaha	50.283333	17.716667	217	POD
581	Pustá Polom	49.8482739	17.9935364	445	POD
582	Ramzová	50.2	17.0666667	750	POD
583	Vidnava	50.3833333	17.1666667	230	POD
584	Vrbno pod Pradědem	50.1217672	17.386215	550	POD
635	Dubicko	49.8269	16.9662	290	CHMI
639	Paseka u Uničova	49.7967	17.2308	291	CHMI
648	Vrchlabí	50.6241667	15.6408333	482	CHMI
649	Libice nad Doubravou	49.7441667	15.7047222	425	CHMI
656	Varnsdorf	50.9138889	14.6225	365	CHMI
658	KS Trpísty	49.828611	13.065556	360	PVL
662	Holovousy	50.3747222	15.5772222	321	CHMI
665	Česká Lípa	50.691111	14.5425	246	CHMI
666	Nový Bydžov	50.2416667	15.5080556	232	CHMI
667	Radovesnice	50.1066667	15.3686111	227	CHMI
670	Valšov	49.924801	17.4552811	498	POD
671	Dětmarovice	49.900291	18.479738	205	POD
672	Český Těšín - Baliny	49.7444444	18.6283333	280	POD
673	Nýdek	49.6666667	18.7666667	410	POD
674	Bílý Kříž	49.502778	18.538889	910	POD
675	Bumbálka	49.399722	18.410278	860	POD
679	Tisovka	48.9086111	14.1025	749	CHMI
687	Rabštejn nad Střelou	50.0458339	13.2927025	420	PVL
688	KS Domažlice	49.445278	12.922778	410	PVL
689	Špičák (Šumava)	49.176944	13.231944	900	PVL
690	KS Jíno	49.509173	13.305679	362	PVL
691	KS Beroun	49.955833	14.071389	225	PVL
692	KS Stříbro	49.755	12.999444	360	PVL
693	Černý Kříž	48.860833	13.857222	740	PVL
695	KS Soběnov	48.746944	14.534444	630	PVL
696	KS Horní Stropnice	48.733333	14.733333	570	PVL
697	Nová Ves nad Lužnicí	48.808196	14.938875	360	PVL
698	Lukavec	49.565556	14.982778	600	PVL
699	Vodice	49.463333	14.907778	615	PVL
700	KS Vintířov	49.397778	14.988889	630	PVL
701	Božejov	49.347222	15.143889	610	PVL
702	KS Radětín	49.450271	15.231578	480	PVL
703	Blažejovice	49.613001	15.205286	410	PVL
704	Křivsoudov	49.6331572	15.0823144	470	PVL
717	Roudnice nad Labem	50.4205556	14.2688889	155	PLA
737	Klenovice	49.255556	14.703333	397	PVL
738	KS Rodvínov	49.171944	15.0575	468	PVL
739	KS Horní Pole	49.205833	15.298333	665	PVL
740	KS Lenora	48.923056	13.803611	761	PVL
749	Žatec ČHMÚ	50.3325	13.5472222	210	CHMI
801	Luční bouda	50.7347222	15.6965694	1413	CHMI
841	Klínovec ČHMÚ	50.3948	12.968	1240	CHMI
842	Dyleň	49.9677778	12.5027778	940	CHMI
843	Měděnec	50.4175	13.1138889	828	CHMI
846	Bílá - Konečná	49.4525	18.5211111	720	CHMI
848	Nemochovice	49.1808	17.1361	280	CHMI
